image_id,filename,true_category,top1_prediction,top1_similarity,top2_prediction,top2_similarity,top3_prediction,top3_similarity,top1_correct,top3_correct
IMG_113,restroom_113.png,restroom,check_in,0.2081221491098404,baggage_claim,0.19558501243591309,information_desk,0.19022250175476074,False,False
IMG_203,restaurant_203.png,restaurant,check_in,0.20728376507759094,baggage_claim,0.1947302371263504,information_desk,0.1898828148841858,False,False
IMG_086,security_086.png,security,check_in,0.20229138433933258,security,0.20226028561592102,transport,0.19184550642967224,False,True
IMG_117,restroom_117.png,restroom,check_in,0.20814210176467896,transport,0.19583451747894287,baggage_claim,0.1956833153963089,False,False
IMG_140,lounge_140.png,lounge,check_in,0.2273244559764862,baggage_claim,0.22554340958595276,lounge,0.22203496098518372,False,True
IMG_067,check_in_067.png,check_in,check_in,0.22523616254329681,security,0.20988890528678894,lounge,0.2018919289112091,True,True
IMG_015,gate_015.png,gate,gate,0.283504843711853,check_in,0.26817455887794495,baggage_claim,0.2680851221084595,True,True
IMG_021,gate_021.png,gate,check_in,0.21391883492469788,gate,0.19963666796684265,information_desk,0.1872568130493164,False,True
IMG_224,restaurant_224.png,restaurant,check_in,0.20857000350952148,information_desk,0.19330072402954102,restaurant,0.18569275736808777,False,True
IMG_223,restaurant_223.png,restaurant,check_in,0.21997876465320587,security,0.21026363968849182,lounge,0.20477287471294403,False,False
IMG_134,lounge_134.png,lounge,check_in,0.2230381965637207,security,0.21618801355361938,baggage_claim,0.20844775438308716,False,False
IMG_110,restroom_110.png,restroom,check_in,0.2078990489244461,security,0.19918140769004822,lounge,0.19911418855190277,False,False
IMG_036,baggage_claim_036.png,baggage_claim,check_in,0.2073405683040619,information_desk,0.20069551467895508,transport,0.18813176453113556,False,False
IMG_174,transport_174.png,transport,check_in,0.23441320657730103,security,0.22250092029571533,baggage_claim,0.2141888439655304,False,False
IMG_205,restaurant_205.png,restaurant,check_in,0.20718324184417725,information_desk,0.20221315324306488,transport,0.19856271147727966,False,False
IMG_138,lounge_138.png,lounge,baggage_claim,0.22497442364692688,check_in,0.22160863876342773,security,0.2144026905298233,False,False
IMG_033,baggage_claim_033.png,baggage_claim,baggage_claim,0.22099792957305908,check_in,0.21571145951747894,security,0.2029508650302887,True,True
IMG_020,gate_020.png,gate,check_in,0.23518314957618713,transport,0.2220703363418579,information_desk,0.21991102397441864,False,False
IMG_072,check_in_072.png,check_in,check_in,0.22279703617095947,information_desk,0.20592105388641357,baggage_claim,0.20491079986095428,True,True
IMG_081,security_081.png,security,check_in,0.2078542858362198,security,0.20696353912353516,baggage_claim,0.19442610442638397,False,True
IMG_087,security_087.png,security,check_in,0.22024282813072205,security,0.21896931529045105,baggage_claim,0.2023676186800003,False,True
IMG_185,information_desk_185.png,information_desk,check_in,0.2243044078350067,baggage_claim,0.21765026450157166,security,0.20596107840538025,False,False
IMG_187,information_desk_187.png,information_desk,check_in,0.2190646529197693,transport,0.20132365822792053,security,0.20028118789196014,False,False
IMG_062,check_in_062.png,check_in,check_in,0.22376328706741333,baggage_claim,0.20241186022758484,information_desk,0.2023235261440277,True,True
IMG_177,information_desk_177.png,information_desk,check_in,0.2062789648771286,security,0.20484869182109833,information_desk,0.20005638897418976,False,True
IMG_002,gate_002.png,gate,check_in,0.26121029257774353,gate,0.2406630963087082,baggage_claim,0.23947454988956451,False,True
IMG_179,information_desk_179.png,information_desk,check_in,0.209652379155159,security,0.198694109916687,lounge,0.19558672606945038,False,False
IMG_193,information_desk_193.png,information_desk,check_in,0.19676107168197632,lounge,0.1941022276878357,security,0.19374600052833557,False,False
IMG_099,security_099.png,security,security,0.2378700077533722,check_in,0.22251158952713013,baggage_claim,0.2162933051586151,True,True
IMG_126,lounge_126.png,lounge,check_in,0.2390790581703186,security,0.2265380173921585,information_desk,0.22261938452720642,False,False
IMG_040,baggage_claim_040.png,baggage_claim,check_in,0.2290615290403366,baggage_claim,0.21783319115638733,information_desk,0.21250131726264954,False,True
IMG_167,transport_167.png,transport,check_in,0.21340255439281464,baggage_claim,0.2115734964609146,security,0.20559236407279968,False,False
IMG_216,restaurant_216.png,restaurant,check_in,0.2207004576921463,baggage_claim,0.2106781303882599,information_desk,0.2076440155506134,False,False
IMG_107,restroom_107.png,restroom,check_in,0.2214539647102356,security,0.21268542110919952,gate,0.20802929997444153,False,False
IMG_159,transport_159.png,transport,check_in,0.21045371890068054,transport,0.1906561553478241,information_desk,0.19045916199684143,False,True
IMG_045,baggage_claim_045.png,baggage_claim,baggage_claim,0.2350841462612152,check_in,0.2320929318666458,security,0.22031740844249725,True,True
IMG_032,baggage_claim_032.png,baggage_claim,check_in,0.22314512729644775,security,0.2219928801059723,baggage_claim,0.21394184231758118,False,True
IMG_075,check_in_075.png,check_in,check_in,0.2483152449131012,baggage_claim,0.22575584053993225,information_desk,0.21113300323486328,True,True
IMG_119,restroom_119.png,restroom,check_in,0.19951236248016357,information_desk,0.18522274494171143,baggage_claim,0.1794065684080124,False,False
IMG_095,security_095.png,security,security,0.2206050604581833,check_in,0.21241158246994019,gate,0.2042759656906128,True,True
IMG_009,gate_009.png,gate,check_in,0.2161855846643448,gate,0.20822960138320923,baggage_claim,0.2073868066072464,False,True
IMG_060,check_in_060.png,check_in,check_in,0.2483152449131012,baggage_claim,0.22575584053993225,information_desk,0.21113300323486328,True,True
IMG_170,transport_170.png,transport,check_in,0.2132747918367386,baggage_claim,0.20652511715888977,information_desk,0.19892506301403046,False,False
IMG_172,transport_172.png,transport,transport,0.2524951100349426,baggage_claim,0.23487070202827454,check_in,0.23241889476776123,True,True
IMG_132,lounge_132.png,lounge,check_in,0.21061141788959503,information_desk,0.20751087367534637,baggage_claim,0.2038910835981369,False,False
